EnterCode,ExitCode,EnterName,ExitName,Distance/Km,NormalPrice,EarlyPrice
44_44,46_46,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Marsiling (NS8),li class=\'distance_fare_result_dt\'>3.2 km,li class=\'distance_fare_result_fr\'>$0.83
44_44,205_110,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Marymount (CC16),li class=\'distance_fare_result_dt\'>17.3 km,li class=\'distance_fare_result_fr\'>$1.71
44_44,323_155,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Mattar (DT25),li class=\'distance_fare_result_dt\'>22.8 km,li class=\'distance_fare_result_fr\'>$1.87
44_44,131_93,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Meridian (PE2),li class=\'distance_fare_result_dt\'>27.0 km,li class=\'distance_fare_result_fr\'>$1.94
44_44,210_116,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Mountbatten (CC7),li class=\'distance_fare_result_dt\'>25.0 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,315_7,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Newton (NS21 / DT11),li class=\'distance_fare_result_dt\'>20.4 km,li class=\'distance_fare_result_fr\'>$1.81
44_44,141_103,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Nibong (PW5),li class=\'distance_fare_result_dt\'>27.4 km,li class=\'distance_fare_result_fr\'>$1.95
44_44,212_114,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Nicoll Highway (CC5),li class=\'distance_fare_result_dt\'>24.8 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,6_6,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Novena (NS20),li class=\'distance_fare_result_dt\'>19.2 km,li class=\'distance_fare_result_fr\'>$1.75
44_44,135_97,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Oasis (PE6),li class=\'distance_fare_result_dt\'>27.1 km,li class=\'distance_fare_result_fr\'>$1.94
44_44,221_124,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>one-north (CC23),li class=\'distance_fare_result_dt\'>24.4 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,8_8,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Orchard (NS22),li class=\'distance_fare_result_dt\'>21.6 km,li class=\'distance_fare_result_fr\'>$1.84
